PID		Action					Type				Time						Allocated space			Entered
34		Memory  deallocation	Deallocation		Tue May 24 18:36:13 2022		144					1
35		Memory  allocation  	Allocation  		Tue May 24 18:36:25 2022		112					1
36		Memory  allocation  	Allocation  		Tue May 24 18:36:44 2022		160					1
35		Memory  deallocation	Deallocation		Tue May 24 18:36:54 2022		112					1
36		Memory  deallocation	Deallocation		Tue May 24 18:37:02 2022		160					1
37		Memory  allocation  	Allocation  		Tue May 24 18:37:12 2022		64					1
38		Memory  allocation  	Allocation  		Tue May 24 18:37:31 2022		128					1
37		Memory  deallocation	Deallocation		Tue May 24 18:37:43 2022		64					1
38		Memory  deallocation	Deallocation		Tue May 24 18:37:51 2022		128					1
39		Memory  allocation  	Allocation  		Tue May 24 18:37:52 2022		96					1
39		Memory  deallocation	Deallocation		Tue May 24 18:38:04 2022		96					1
40		Memory  allocation  	Allocation  		Tue May 24 18:38:17 2022		96					1
40		Memory  deallocation	Deallocation		Tue May 24 18:38:28 2022		96					1
41		Memory  allocation  	Allocation  		Tue May 24 18:38:38 2022		64					1
41		Memory  deallocation	Deallocation		Tue May 24 18:38:49 2022		64					1
42		Memory  allocation  	Allocation  		Tue May 24 18:39:03 2022		112					1
43		Memory  allocation  	Allocation  		Tue May 24 18:39:19 2022		160					1
42		Memory  deallocation	Deallocation		Tue May 24 18:39:29 2022		112					1
44		Memory  allocation  	Allocation  		Tue May 24 18:39:35 2022		128					1
43		Memory  deallocation	Deallocation		Tue May 24 18:39:41 2022		160					1
44		Memory  deallocation	Deallocation		Tue May 24 18:39:49 2022		128					1
45		Memory  allocation  	Allocation  		Tue May 24 18:40:04 2022		80					1
45		Memory  deallocation	Deallocation		Tue May 24 18:40:32 2022		80					1
46		Memory  allocation  	Allocation  		Tue May 24 18:40:32 2022		128					1
47		Memory  allocation  	Allocation  		Tue May 24 18:40:49 2022		144					1
46		Memory  deallocation	Deallocation		Tue May 24 18:41:00 2022		128					1
47		Memory  deallocation	Deallocation		Tue May 24 18:41:05 2022		144					1
48		Memory  allocation  	Allocation  		Tue May 24 18:41:15 2022		144					1
49		Memory  allocation  	Allocation  		Tue May 24 18:41:31 2022		96					1
48		Memory  deallocation	Deallocation		Tue May 24 18:41:37 2022		144					1
49		Memory  deallocation	Deallocation		Tue May 24 18:41:51 2022		96					1
50		Memory  allocation  	Allocation  		Tue May 24 18:41:52 2022		48					1
50		Memory  deallocation	Deallocation		Tue May 24 18:42:05 2022		48					1
51		Memory  allocation  	Allocation  		Tue May 24 18:42:07 2022		160					1
51		Memory  deallocation	Deallocation		Tue May 24 18:42:18 2022		160					1
52		Memory  allocation  	Allocation  		Tue May 24 18:42:36 2022		96					1
52		Memory  deallocation	Deallocation		Tue May 24 18:42:51 2022		96					1
53		Memory  allocation  	Allocation  		Tue May 24 18:42:54 2022		32					1
53		Memory  deallocation	Deallocation		Tue May 24 18:43:08 2022		32					1
54		Memory  allocation  	Allocation  		Tue May 24 18:43:15 2022		96					1
55		Memory  allocation  	Allocation  		Tue May 24 18:43:34 2022		160					1
54		Memory  deallocation	Deallocation		Tue May 24 18:43:40 2022		96					1
56		Memory  allocation  	Allocation  		Tue May 24 18:43:57 2022		144					1
55		Memory  deallocation	Deallocation		Tue May 24 18:43:57 2022		160					1
